zinc_id,smiles,mwt,logp,heavy_atoms,n_rings,heteroatoms,tpsa,hacceptors,hdonors,rotatable_bonds
ZINC000000000050,CN1CCN2c3ccccc3Cn3cccc3[C@@H]2C1,253.349,2.3429,19,5,3,11.41,3,0,0
ZINC000000000051,Cc1ccccc1NC(=O)[C@H](C)N1CCCC1,232.32699999999997,2.4178200000000007,17,3,3,32.34,2,1,3
ZINC000000000052,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,341.2750000000001,3.336700000000002,25,4,8,108.13,6,1,3
ZINC000000000053,CC(=O)Oc1ccccc1C(=O)O,180.159,1.3101,13,1,4,63.60000000000001,3,1,2
ZINC000000000054,C[C@H](C(=O)O)c1ccc(-c2ccsc2)cc1,232.304,3.603200000000002,16,2,3,37.3,2,1,3
ZINC000000000055,CN1[C@H]2CC[C@@H]1CC(OC(=O)[C@@](C)(CO)c1ccccc1)C2,303.40200000000004,2.1049999999999995,22,5,4,49.77,4,1,4
ZINC000000000056,CN1[C@H]2CC[C@@H]1CC(OC(=O)[C@H](CO)c1ccccc1)C2,289.37500000000006,1.9309,21,5,4,49.77,4,1,4
ZINC000000000058,C[N+]1([O-])[C@H]2CC[C@@H]1CC(OC(=O)[C@H](CO)c1ccccc1)C2,305.374,1.9435,22,5,5,69.59,4,1,4
ZINC000000000061,NC[C@H](CC(=O)O)c1ccc(Cl)cc1,213.664,1.857,14,1,4,63.32000000000001,2,2,4
ZINC000000000063,CC(=O)c1cc2cccc(OC[C@H](O)CNC(C)C)c2o1,291.34700000000004,2.3731,21,2,5,71.7,5,2,7
ZINC000000000064,Cc1cccc2c1Oc1ccccc1[C@@]1(O)CCN(C)C[C@H]21,295.38200000000006,3.4076200000000023,22,5,3,32.7,3,1,0
ZINC000000000066,O=C(O)c1ccc(N[C@H]2OC[C@@H](O)[C@H](O)[C@H]2O)cc1,269.253,-0.7643000000000009,19,3,7,119.25,6,5,3
ZINC000000000068,C[C@H](NNC(=O)c1ccccc1)c1ccccc1,240.306,2.682200000000001,18,2,3,41.13,2,2,4
ZINC000000000070,C[C@H](C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,301.729,4.336300000000002,21,3,5,63.33,3,1,3
ZINC000000000071,CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,266.29599999999994,3.931800000000002,20,3,3,50.44,3,1,3
ZINC000000000072,CC(=O)O[C@H](c1ccc(Cl)c(Cl)c1)C(Cl)(Cl)Cl,336.429,4.967800000000001,17,1,7,26.3,2,0,2
